collected_at,cpu_percent,cpu_cores_count,load_avg_1,load_avg_5,load_avg_15,memory_total,memory_used,memory_free,memory_percent,swap_used,swap_total,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
2026-06-20T11:11:06.317494,36.10,8,8.61,11.12,11.71,8589934592,3180036096,1409155072,83.60,11977555968,12884901888,2277027840,4719158272,45579090,139642803
2026-06-20T11:27:06.814512,86.90,8,5.60,9.77,11.16,8589934592,3088465920,1307951104,84.80,11885281280,12884901888,2277349376,4719704064,45580310,139644067
2026-06-20T11:43:07.490320,24.70,8,4.64,8.65,10.64,8589934592,3139305472,1366638592,84.10,11910447104,12884901888,2278344704,4722191360,45583855,139648023
2026-06-20T11:59:08.117757,59.20,8,8.59,8.87,10.56,8589934592,3065135104,1263730688,85.30,11917918208,12884901888,2279035904,4723587072,45586504,139650744
2026-06-20T12:00:08.811397,35.70,8,5.07,7.81,10.05,8589934592,3124609024,1352237056,84.30,11949506560,12884901888,2279190528,4724020224,45587227,139651709
2026-06-20T12:01:09.515773,36.50,8,4.76,7.20,9.66,8589934592,3079749632,1291730944,85.00,11888689152,12884901888,2279270400,4724336640,45587657,139652294
2026-06-20T12:17:10.215541,52.50,8,18.17,11.10,10.98,8589934592,3068329984,1279197184,85.10,11932008448,12884901888,2280281088,4726461440,45591051,139656018
2026-06-20T12:18:10.927048,30.50,8,10.61,10.26,10.67,8589934592,3095904256,1307049984,84.80,11929649152,12884901888,2280438784,4726719488,45591576,139656582
2026-06-20T12:19:11.623514,28.60,8,7.35,9.37,10.31,8589934592,3083665408,1315192832,84.70,11896094720,12884901888,2280482816,4726752256,45591804,139656822
2026-06-20T12:20:12.296325,31.80,8,5.43,8.45,9.90,8589934592,3151806464,1376649216,84.00,11942690816,12884901888,2280579072,4726938624,45592184,139657259
2026-06-20T12:21:12.974386,34.20,8,4.47,7.63,9.49,8589934592,3045621760,1323532288,84.60,11934302208,12884901888,2280667136,4727046144,45592494,139657637
2026-06-20T12:22:26.401772,43.30,8,33.53,15.60,12.35,8589934592,3132686336,1248215040,85.50,11984240640,12884901888,2281638912,4728646656,45595400,139660671
2026-06-20T12:27:35.753220,19.00,8,3.16,8.76,10.34,8589934592,3116318720,1281769472,85.10,11968905216,12884901888,2285066240,528400384,45603440,139671990
2026-06-20T12:28:36.424955,25.10,8,2.98,7.64,9.81,8589934592,3140354048,1310932992,84.70,12063735808,12884901888,2286342144,530429952,45605009,139674494
2026-06-20T12:28:39.355099,22.40,8,2.83,7.53,9.75,8589934592,3170615296,1314013184,84.70,12055347200,12884901888,2286360576,530450432,45605050,139674538
2026-06-20T12:29:28.641700,20.90,8,2.72,6.80,9.35,8589934592,3166715904,1300643840,84.90,12021399552,12884901888,2286686208,531064832,45605669,139675472
2026-06-20T12:29:37.081157,22.20,8,3.07,6.74,9.30,8589934592,3172122624,1354924032,84.20,12046237696,12884901888,2286830592,531299328,45605826,139675731
2026-06-20T12:30:29.304261,16.40,8,2.14,5.94,8.86,8589934592,3119464448,1287700480,85.00,12088508416,12884901888,2287264768,532200448,45606592,139676833
2026-06-20T12:30:37.732000,16.50,8,2.71,5.94,8.83,8589934592,3119824896,1306345472,84.80,12098273280,12884901888,2287298560,532232192,45606690,139676920
2026-06-20T12:31:29.959236,28.40,8,3.40,5.60,8.53,8589934592,3144073216,1278869504,85.10,12098338816,12884901888,2288106496,533934080,45608098,139678967
2026-06-20T12:31:34.988445,34.00,8,3.61,5.60,8.52,8589934592,3180789760,1324236800,84.60,12096897024,12884901888,2288205824,534109184,45608257,139679231
2026-06-20T12:31:38.384303,27.20,8,3.40,5.53,8.47,8589934592,3211624448,1401765888,83.70,12096897024,12884901888,2288351232,534447104,45608460,139679543
2026-06-20T12:32:26.705754,21.60,8,2.52,5.00,8.12,8589934592,3148152832,1288257536,85.00,12096700416,12884901888,2288637952,534687744,45609042,139680276
2026-06-20T12:32:30.611988,32.70,8,2.64,4.98,8.10,8589934592,3071557632,1273331712,85.20,12096700416,12884901888,2288656384,534705152,45609081,139680332
2026-06-20T12:32:32.354232,53.40,8,3.15,5.05,8.11,8589934592,3115941888,1307607040,84.80,12088311808,12884901888,2288664576,534711296,45609102,139680352
2026-06-20T12:32:37.993375,22.90,8,3.05,5.00,8.07,8589934592,3145498624,1315258368,84.70,12088311808,12884901888,2288694272,534739968,45609172,139680409
2026-06-20T12:32:39.025106,24.10,8,3.05,5.00,8.07,8589934592,3125673984,1305919488,84.80,12063145984,12884901888,2288694272,534740992,45609178,139680415
2026-06-20T12:32:43.639658,22.30,8,2.89,4.93,8.03,8589934592,3078864896,1258438656,85.30,12079529984,12884901888,2288695296,534742016,45609184,139680436
2026-06-20T12:32:49.286533,21.90,8,2.82,4.88,7.99,8589934592,3224158208,1406763008,83.60,12079661056,12884901888,2288835584,535016448,45609348,139680696
2026-06-20T12:32:54.938389,21.70,8,2.67,4.82,7.95,8589934592,3139616768,1270579200,85.20,12117016576,12884901888,2288899072,535350272,45609588,139681045
2026-06-20T12:33:00.583599,32.30,8,2.86,4.82,7.93,8589934592,3171254272,1232814080,85.60,12166430720,12884901888,2288914432,535364608,45609643,139681105
2026-06-20T12:33:06.229990,27.90,8,2.79,4.77,7.90,8589934592,3196076032,1345961984,84.30,12174753792,12884901888,2289018880,535385088,45609751,139681197
2026-06-20T12:33:11.879945,23.60,8,2.81,4.75,7.87,8589934592,3144253440,1336344576,84.40,12157976576,12884901888,2289018880,535385088,45609754,139681201
2026-06-20T12:33:17.532702,32.40,8,2.69,4.65,7.80,8589934592,3211444224,1292632064,85.00,12124422144,12884901888,2289032192,535392256,45609788,139681233
2026-06-20T12:33:23.189102,27.20,8,2.55,4.59,7.76,8589934592,3176349696,1263910912,85.30,12103450624,12884901888,2289049600,535402496,45609827,139681266
2026-06-20T12:33:28.843430,17.00,8,2.43,4.53,7.72,8589934592,3197812736,1285373952,85.00,12134121472,12884901888,2289062912,535407616,45609869,139681318
2026-06-20T12:33:31.275259,33.70,8,2.43,4.53,7.72,8589934592,3180544000,1267335168,85.20,12142837760,12884901888,2289063936,535407616,45609883,139681328
2026-06-20T12:33:34.506146,34.20,8,2.55,4.52,7.70,8589934592,3171794944,1238106112,85.60,12142837760,12884901888,2289068032,535408640,45609898,139681342
2026-06-20T12:33:39.675632,21.90,8,2.75,4.53,7.68,8589934592,3219701760,1314865152,84.70,12139560960,12884901888,2289075200,535417856,45609924,139681367
2026-06-20T12:33:40.149469,27.50,8,2.75,4.53,7.68,8589934592,3217620992,1344536576,84.30,12114395136,12884901888,2289078272,535417856,45609934,139681373
2026-06-20T12:33:45.796838,22.30,8,2.61,4.47,7.64,8589934592,3129114624,1278132224,85.10,12139888640,12884901888,2289080320,535419904,45609948,139681398
2026-06-20T12:33:51.437800,19.10,8,2.72,4.46,7.62,8589934592,3171401728,1299742720,84.90,12139888640,12884901888,2289090560,535420928,45609969,139681413
2026-06-20T12:33:57.080113,23.80,8,2.74,4.44,7.59,8589934592,3125002240,1278509056,85.10,12137398272,12884901888,2289094656,535422976,45609987,139681439
2026-06-20T12:34:02.729997,28.60,8,2.55,4.34,7.52,8589934592,3134013440,1289371648,85.00,12137398272,12884901888,2289106944,535435264,45610032,139681483
2026-06-20T12:34:08.367794,21.40,8,2.42,4.29,7.48,8589934592,3196780544,1359872000,84.20,12137398272,12884901888,2289108992,535437312,45610047,139681494
2026-06-20T12:34:14.019567,22.00,8,2.23,4.22,7.44,8589934592,3154968576,1267793920,85.20,12137398272,12884901888,2289120256,535453696,45610095,139681538
2026-06-20T12:34:19.667588,16.50,8,2.05,4.15,7.40,8589934592,3204497408,1368457216,84.10,12120621056,12884901888,2289121280,535454720,45610109,139681550
2026-06-20T12:34:25.320649,18.80,8,1.97,4.09,7.36,8589934592,3134144512,1285554176,85.00,12120621056,12884901888,2289137664,535460864,45610161,139681592
2026-06-20T12:34:30.979952,29.60,8,1.81,4.02,7.31,8589934592,3122937856,1279590400,85.10,12112232448,12884901888,2289147904,535470080,45610189,139681633
2026-06-20T12:34:31.920836,38.90,8,1.81,4.02,7.31,8589934592,3124264960,1295777792,84.90,12112232448,12884901888,2289147904,535470080,45610191,139681635
2026-06-20T12:34:36.635208,19.70,8,1.82,3.99,7.28,8589934592,3141189632,1270071296,85.20,12112232448,12884901888,2289148928,535470080,45610200,139681640
2026-06-20T12:34:40.325784,18.60,8,1.76,3.94,7.25,8589934592,3136929792,1321304064,84.60,12112232448,12884901888,2289156096,535482368,45610228,139681671
2026-06-20T12:34:42.283249,21.10,8,1.76,3.94,7.25,8589934592,3117367296,1250361344,85.40,12115443712,12884901888,2289156096,535483392,45610229,139681677
2026-06-20T12:34:47.930711,14.50,8,1.81,3.88,7.19,8589934592,3119120384,1281327104,85.10,12118982656,12884901888,2289167360,535573504,45610302,139681777
2026-06-20T12:34:53.576188,15.60,8,1.90,3.86,7.16,8589934592,3138338816,1290813440,85.00,12110594048,12884901888,2289168384,535574528,45610315,139681793
2026-06-20T12:34:59.223632,23.70,8,1.75,3.80,7.12,8589934592,3133652992,1283473408,85.10,12110594048,12884901888,2289173504,535576576,45610337,139681826
2026-06-20T12:35:04.866474,19.70,8,1.69,3.75,7.08,8589934592,3107389440,1271332864,85.20,12110594048,12884901888,2289173504,535577600,45610344,139681832
2026-06-20T12:35:10.509116,16.80,8,1.79,3.74,7.06,8589934592,3142647808,1301381120,84.80,12093816832,12884901888,2289173504,535577600,45610348,139681835
2026-06-20T12:35:16.157420,27.10,8,1.73,3.69,7.02,8589934592,3153756160,1300217856,84.90,12111446016,12884901888,2289439744,536079360,45610637,139682308
2026-06-20T12:35:21.809583,19.10,8,1.99,3.71,7.01,8589934592,3132637184,1328168960,84.50,12103057408,12884901888,2289534976,536460288,45610866,139682677
2026-06-20T12:35:27.456612,17.00,8,1.83,3.65,6.97,8589934592,3143401472,1334853632,84.50,12103057408,12884901888,2289618944,536484864,45610947,139682753
2026-06-20T12:35:32.612514,28.40,8,1.94,3.61,6.92,8589934592,3123953664,1331134464,84.50,12103057408,12884901888,2289721344,536503296,45611057,139682900
2026-06-20T12:35:33.126506,45.90,8,1.94,3.61,6.92,8589934592,3149905920,1357037568,84.20,12103057408,12884901888,2289722368,536503296,45611058,139682902
2026-06-20T12:35:38.771477,14.40,8,1.87,3.57,6.88,8589934592,3191717888,1390854144,83.80,12103057408,12884901888,2289723392,536505344,45611078,139682921
2026-06-20T12:35:40.978672,15.50,8,1.87,3.57,6.88,8589934592,3200794624,1387298816,83.80,12103057408,12884901888,2289723392,536505344,45611083,139682925
2026-06-20T12:35:44.429966,15.60,8,2.04,3.58,6.86,8589934592,3096772608,1285980160,85.00,12103057408,12884901888,2289724416,536506368,45611094,139682950
2026-06-20T12:35:50.086792,16.10,8,2.04,3.55,6.84,8589934592,3110469632,1301954560,84.80,12103057408,12884901888,2289725440,536510464,45611104,139682966
2026-06-20T12:35:55.731084,15.40,8,2.43,3.61,6.84,8589934592,3130376192,1313800192,84.70,12103057408,12884901888,2289725440,536511488,45611109,139682977
2026-06-20T12:36:01.380417,27.90,8,2.24,3.55,6.80,8589934592,3103457280,1296793600,84.90,12103057408,12884901888,2289730560,536524800,45611131,139683041
2026-06-20T12:36:07.025795,13.90,8,2.14,3.51,6.76,8589934592,3094511616,1284128768,85.10,12103057408,12884901888,2289731584,536525824,45611139,139683051
2026-06-20T12:36:12.677738,14.70,8,2.20,3.47,6.71,8589934592,3090874368,1289535488,85.00,12094668800,12884901888,2289731584,536525824,45611141,139683054
2026-06-20T12:36:18.328843,16.50,8,2.34,3.48,6.69,8589934592,3085254656,1274019840,85.20,12094668800,12884901888,2289732608,536526848,45611154,139683069
2026-06-20T12:36:23.980241,30.10,8,2.15,3.42,6.66,8589934592,3079946240,1256144896,85.40,12064718848,12884901888,2289754112,536535040,45611211,139683116
2026-06-20T12:36:29.637085,27.80,8,1.98,3.37,6.62,8589934592,3091169280,1275559936,85.20,12194349056,12884901888,2289764352,536544256,45611252,139683169
2026-06-20T12:36:33.263146,31.10,8,2.54,3.46,6.63,8589934592,3191685120,1381285888,83.90,12194349056,12884901888,2289775616,536547328,45611274,139683185
2026-06-20T12:36:35.289734,17.80,8,2.54,3.46,6.63,8589934592,3215392768,1395982336,83.70,12185960448,12884901888,2289775616,536547328,45611277,139683186
2026-06-20T12:36:40.939509,21.80,8,2.34,3.40,6.59,8589934592,3225960448,1410203648,83.60,12177571840,12884901888,2289785856,536564736,45611352,139683264
2026-06-20T12:36:41.622693,26.40,8,2.34,3.40,6.59,8589934592,3182837760,1363607552,84.10,12177571840,12884901888,2289785856,536564736,45611352,139683264
2026-06-20T12:36:46.580565,17.50,8,2.15,3.34,6.55,8589934592,3174187008,1348435968,84.30,12177571840,12884901888,2289798144,536585216,45611387,139683410
2026-06-20T12:36:52.229333,15.90,8,2.38,3.37,6.54,8589934592,3173367808,1366065152,84.10,12177571840,12884901888,2289804288,536597504,45611412,139683437
2026-06-20T12:36:57.878568,13.70,8,2.09,3.28,6.47,8589934592,3212820480,1393737728,83.80,12177571840,12884901888,2289808384,536600576,45611427,139683472
2026-06-20T12:37:03.527965,27.20,8,2.00,3.24,6.44,8589934592,3166420992,1350549504,84.30,12177571840,12884901888,2289817600,536606720,45611456,139683498
2026-06-20T12:37:09.174473,17.20,8,2.16,3.25,6.42,8589934592,3184541696,1364885504,84.10,12177571840,12884901888,2289818624,536606720,45611465,139683505
2026-06-20T12:37:14.822400,14.30,8,2.31,3.26,6.41,8589934592,3177693184,1352843264,84.30,12177571840,12884901888,2289818624,536608768,45611474,139683517
2026-06-20T12:37:20.469924,18.30,8,2.20,3.23,6.38,8589934592,3169517568,1350893568,84.30,12177571840,12884901888,2289819648,536608768,45611487,139683528
